prompt,tables_used
"Can you show me the actor_id, first_name, and last_name of actors with the first name Scarlett?",['actor']
How many different last_name values are there among all the actors?,['actor']
"Who’s the top 1 actor that’s been in the most films? Just show me their actor_id, first_name, and last_name.","['film_actor', 'actor']"
"What are the top 5 film genres that brought in the highest revenue by looking from the payments in all store? Just show the genre names, sorted from the highest.","['category', 'rental', 'payment', 'film_category', 'inventory']"
"How much revenue did each store make, looking from the staff's payments? Just show me the store_id and total revenue, sorted from highest to lowest.","['staff', 'payment', 'store']"
Which language shows up the most in our movie list? Just give me the top 1 language name.,"['language', 'film']"
"Who are the top 5 customers based on how many movies they've rented? Show their customer ID, first name, last name, and total number of rentals, sorted from highest to lowest.","['rental', 'customer']"
"Which customers have rented from more than 3 categories? Show the customer ID, first name, last name, and the number of categories they've rented from.","['inventory', 'rental', 'customer', 'film_category']"
"Are there any movies in our collection that have never been rented at all, across any store? I need the film ID, title, and release year.","['inventory', 'rental', 'film']"
"How much total revenue has each actor generated from the movies they've appeared in by looking from the payments of all store? Show the actor ID, first name, last name, and total revenue, sorted from highest to lowest.","['rental', 'payment', 'film_actor', 'inventory', 'actor']"
Which staff member handled the highest total payment? Just show their staff ID and the total amount they processed.,"['staff', 'payment']"
"Which customers have rented the same film more than once? Show the customer ID, first name, last name, film title, and the number of times they rented it.","['rental', 'customer', 'customer_film_rentals', 'film', 'inventory']"
"Which films are in the top 5 most rented film categories? Show the film ID, title, replacement cost, and category name, sorted by replacement cost from highest to lowest.","['category', 'rental', 'top_films', 'top_categories', 'film_category', 'film', 'inventory']"
"Which pairs of actors have appeared together in the most films? Show only the actor IDs for each pair and how many films they've worked on together, sorted from most to least.","['film_actor', 'actor']"
"Which movies are in the top 10% by total revenue? Show the film ID, title, and total revenue.","['rental', 'film_revenue', 'top_10_percent', 'payment', 'film', 'inventory']"
"Which customers have rented every film in a specific category (e.g., 'Action')? Show the customer ID, first name, and last name.","['category', 'rental', 'customer', 'customer_rentals', 'film_category', 'action_films', 'inventory']"
"Which movie has the highest average rental duration per customer? Show the film ID, title, and average rental duration. Just return the top 1.","['inventory', 'rental', 'film']"
"Which staff member has processed the most payments, and what is the total amount they’ve handled? Show the staff ID, first name, last name, and total amount. Just return the top 1.","['staff', 'payment']"
"Which films were never rented but are in the 5 most rented film categories? Show film ID, title, and category name, sorted by film ID.","['category', 'rental', 'rented_films', 'top_categories', 'film_category', 'films_in_top_categories', 'film', 'inventory']"
"Which customers have rented films from all categories? Show the customer ID, first name, and last name.","['category', 'rental', 'customer', 'customer_categories', 'film_category', 'inventory']"
"Which films earn the most revenue per rental day across all stores, based only on rentals that have been returned? Calculate this by dividing total payments by total rental days. Show the film ID, title, and revenue per day (rounded to two decimal places) for the top 10 films.","['rental', 'payment', 'film', 'inventory', 'film_revenue_per_day']"
"For each category, which films have the longest and shortest rental durations? Show the category name, film title, and rental duration. Return only one film for the longest and one for the shortest duration in each category (even if others have the same duration). Sort by category name ascending and rental duration descending.","['category', 'categoryrentalduration', 'film_category', 'film']"
"Which customers have rented films from exactly 2 categories? Show the customer ID, first name, last name, and the categories they've rented from.","['category', 'rental', 'customer', 'customer_categories', 'film_category', 'inventory', 'customer_category_count']"
"Which films have been rented more than the average number of rentals for their category? Show the film ID, title, category name, and rental count.","['category', 'rental', 'film_rentals', 'category_avg', 'film_category', 'film', 'inventory']"
"Which actors have never appeared in any films with a rating of 'R'? Show the actor ID, first name, and last name.","['film_actor', 'actor', 'film']"
"Get the top 1 film with the highest replacement cost among those that have never been rented in any store. Show the film ID, title, and replacement cost.","['inventory', 'rental', 'film']"
"Which customers have rented films from all stores? Show the customer ID, first name, and last name.","['rental', 'customer', 'customer_stores', 'store', 'inventory']"
"Which films have been rented in all stores? Show the film ID, title, and the number of stores it was rented in.","['film', 'rental', 'film_stores', 'store', 'inventory']"
"Which film has the highest revenue per minute of runtime? Show the film ID, title, runtime, and revenue per minute. Round to two decimal points. Return only the top 1 result.","['rental', 'film_revenue', 'payment', 'film', 'inventory']"
"Who are the customers that have rented the movie ZORRO ARK more than once? Just show their ID, first name, and last name.","['rental', 'customer', 'zorro_rentals', 'zorro_film', 'film', 'inventory']"
"Which film has the most actors but has never been rented in any store? Just show the film ID, title, and number of actors — only the top one.","['rental', 'film_actor', 'unrented_films', 'film', 'film_actor_counts', 'inventory']"
Which movie has the longest runtime but has never been rented? Show the movie title and runtime. Return only the top 1 result.,"['inventory', 'rental', 'unrented_films', 'film']"
"Which top 10 customers have rented the most movies in a single whole day? Show the customer’s first name, last name, and the number of movies they rented on that day. Sort by number of rented movies descending.","['rental', 'customer', 'customer_daily_rentals']"
List the movies that have been rented under 10 times in total. Include each movie’s title and the number of times it has been rented. Order the results by title alphabetically.,"['inventory', 'rental', 'film']"
Which staff members have processed the most payments on weekends? Show the staff first name and the number of payments processed. Sort by number of payments descending.,"['p.payment_date', 'staff', 'payment']"
"Which movie has the highest revenue but the lowest rental rate? Show the movie title, rental rate, and total revenue. Get top 1","['rental', 'film_revenue', 'payment', 'film', 'inventory']"
Which customers have rented movies from every store but have never rented a movie with a rating of 'R'? Show the customer first name.,"['rental', 'customer', 'store', 'customer_stores', 'film', 'inventory', 'customer_no_r_ratings']"
Which movies have been rented by customers from more than 5 different cities? Show the movie title and the number of cities.,"['rental', 'customer', 'city', 'address', 'movie_city_rentals', 'film', 'inventory']"
Which movies have the lowest number of actors and have never been rented in all stores? Show the movie title and number of actors. Get top 1,"['inventory', 'rental', 'film_actor', 'film']"
"Which customers have rented the same movie more than once in a single full month? Show the customer first name, movie title, and the number of times rented. Sort by customer first name","['rental', 'customer', 'film', 'inventory', 'customer_movie_rentals']"
Which movies have been rented by customers from every country? Show the movie title and the number of countries.,"['rental', 'customer', 'city', 'address', 'movie_country_rentals', 'film', 'inventory', 'country']"
"Which movies have been rented the most during holidays (e.g., December)? Show the movie title and the number of rentals.","['inventory', 'rental', 'r.rental_date', 'film']"
Which customers have rented movies from every category but have never rented a movie with a replacement cost over $20? Show the customer full name.,"['category', 'rental', 'customer', 'customer_no_expensive_rentals', 'customer_categories', 'film_category', 'film', 'inventory']"
"Which movies have the highest number of rentals but the lowest replacement cost? Show the movie title, replacement cost, and number of rentals. Get top 1","['film_rentals', 'inventory', 'rental', 'film']"
Which customers have rented movies from every store but have never rented a movie with a runtime over 3 hours? Show the customer first name. Sort by customer name,"['rental', 'customer', 'store', 'customer_stores', 'film', 'inventory', 'customer_no_long_movies']"
Which movies have been rented by customers from more than 10 different cities? Show the movie title and the number of cities.,"['rental', 'customer', 'city', 'address', 'movie_city_rentals', 'film', 'inventory']"
Find the top 1 movie most frequently rented by customers who are no longer active. Display the title and the rental count. Sort by film title too,"['inventory', 'rental', 'customer', 'film']"
Which top 1 movie has the highest revenue but has never been rented on weekends? Show the movie title and total revenue.,"['rental', 'film_revenue', 'payment', 'film', 'inventory', 'r.rental_date']"
Which customers have rented movies from every category but have never rented a movie with a rating of 'PG-13'? Show the customer full name.,"['customer_no_pg13', 'rental', 'customer', 'category', 'customer_categories', 'film_category', 'film', 'inventory']"
Which movies have been rented by customers from more than 5 different countries? Show the movie title and the number of countries.,"['rental', 'customer', 'city', 'address', 'movie_country_rentals', 'film', 'inventory', 'country']"
"Bisa kasih daftar actor_id, first_name, dan last_name dari aktor yang nama depannya Scarlett?",['actor']
Total ada berapa nama belakang (last_name) aktor yang beda-beda?,['actor']
"Siapa aktor top 1 yang paling sering main film? Kasih tau actor_id, first_name, sama last_name-nya aja ya.","['film_actor', 'actor']"
"Apa aja 5 genre film dengan pemasukan tertinggi dengan melihat pembayaran di semua toko? Cukup tampilkan nama genre-nya, urut dari yang paling banyak.","['category', 'rental', 'payment', 'film_category', 'inventory']"
"Tiap toko dapet pemasukan berapa kalau dilihat dari pembayaran oleh staffnya? Tampilkan store_id sama total pemasukannya aja, urut dari yang paling besar.","['staff', 'payment', 'store']"
Bahasa apa yang paling sering muncul di daftar film kita? Cukup kasih nama bahasa yang jadi top 1 aja.,"['language', 'film']"
"Siapa sih 5 pelanggan yang paling sering nyewa film? Tunjukin customer ID, nama depan, nama belakang, sama total film yang mereka sewa, urut dari yang paling banyak ya.","['rental', 'customer']"
"Pelanggan mana aja yang udah nyewa film dari lebih dari 3 kategori? Tampilkan ID pelanggan, nama depan, nama belakang, dan jumlah kategori yang disewa.","['inventory', 'rental', 'customer', 'film_category']"
"Ada nggak film di koleksi kita yang belum pernah disewa sama sekali di semua store? Aku butuh film ID, judul, dan tahun rilisnya.","['inventory', 'rental', 'film']"
"Berapa total pemasukan yang dihasilkan tiap aktor dari film yang mereka bintangi dengan melihat pembayaran di seluruh toko? Tampilkan ID aktor, nama depan, nama belakang, dan total pendapatannya, diurutkan dari yang paling besar.","['rental', 'payment', 'film_actor', 'inventory', 'actor']"
Siapa staf yang memproses pembayaran dengan total terbesar? Tampilkan ID staf dan total jumlah yang mereka proses.,"['staff', 'payment']"
"Siapa aja pelanggan yang nyewa film yang sama lebih dari sekali? Tampilkan ID pelanggan, nama depan, nama belakang, judul film, dan jumlah penyewaan.","['rental', 'customer', 'customer_film_rentals', 'film', 'inventory']"
"Film apa saja yang masuk dalam 5 kategori paling sering disewa? Tampilkan ID film, judul, biaya ganti, dan nama kategori, urut biaya ganti dari yang paling mahal.","['category', 'rental', 'top_films', 'top_categories', 'film_category', 'film', 'inventory']"
"Pasangan aktor mana saja yang paling sering main film bareng? Tampilkan ID kedua aktor dan jumlah film yang mereka bintangi bersama, urut dari yang paling banyak.","['film_actor', 'actor']"
"Film apa aja yang masuk 10% teratas berdasarkan pendapatan? Tampilkan ID film, judul, dan total pendapatan.","['rental', 'film_revenue', 'top_10_percent', 'payment', 'film', 'inventory']"
"Siapa pelanggan yang sudah menyewa semua film dalam satu genre (misalnya genre 'Action')? Tampilkan ID pelanggan, nama depan, dan nama belakang.","['category', 'rental', 'customer', 'customer_rentals', 'film_category', 'action_films', 'inventory']"
"Film mana yang punya rata-rata waktu sewa paling lama per pelanggan? Tampilkan ID film, judul, dan rata-rata durasi sewanya. Cukup ambil satu yang paling tinggi.","['inventory', 'rental', 'film']"
"Siapa staf yang paling banyak memproses pembayaran, dan berapa total yang mereka proses? Tampilkan ID staf, nama depan, nama belakang, dan total jumlahnya. Cukup ambil satu yang paling atas.","['staff', 'payment']"
"Film apa saja yang belum pernah disewa tetapi termasuk dalam 5 kategori film yang paling sering disewa? Tampilkan ID film, judul, dan nama kategori, lalu urutkan berdasarkan ID film.","['category', 'rental', 'rented_films', 'top_categories', 'film_category', 'films_in_top_categories', 'film', 'inventory']"
"Siapa aja pelanggan yang sudah nyewa film dari semua kategori? Tampilkan ID pelanggan, nama depan, dan nama belakang.","['category', 'rental', 'customer', 'customer_categories', 'film_category', 'inventory']"
"Film mana yang menghasilkan pendapatan paling tinggi per hari sewa di seluruh store, hanya berdasarkan sewaan yang sudah dikembalikan? Hitung dengan membagi total pembayaran dengan total hari sewa. Tampilkan ID film, judul, dan pendapatan per harinya (dibulatkan sampai dua angka di belakang koma) untuk 10 film teratas.","['rental', 'payment', 'film', 'inventory', 'film_revenue_per_day']"
"Untuk setiap kategori, film mana yang punya durasi sewa terpanjang dan terpendek? Tampilkan nama kategori, judul film, dan durasi sewa. Ambil hanya satu film untuk yang durasinya paling panjang dan satu untuk yang paling pendek (meskipun ada film lain dengan durasi sama). Urutkan berdasarkan nama kategori secara menaik dan durasi sewa secara menurun.","['category', 'categoryrentalduration', 'film_category', 'film']"
"Ada gak pelanggan yang nyewa film dari tepat 2 kategori? Tampilkan ID pelanggan, nama depan, nama belakang, dan daftar kategorinya.","['category', 'rental', 'customer', 'customer_categories', 'film_category', 'inventory', 'customer_category_count']"
"Film mana yang disewa lebih banyak dari rata-rata di kategori-nya? Tampilkan ID film, judul, nama kategori, dan jumlah penyewaannya.","['category', 'rental', 'film_rentals', 'category_avg', 'film_category', 'film', 'inventory']"
"Aktor mana yang belum pernah main di film manapun dengan rating 'R'? Tampilkan ID aktor, nama depan, dan nama belakang.","['film_actor', 'actor', 'film']"
"Ambil 1 film dengan biaya ganti tertinggi yang belum pernah disewa di toko mana pun. Tampilkan ID film, judul, dan biaya ganti.","['inventory', 'rental', 'film']"
"Siapa pelanggan yang sudah nyewa dari semua toko? Tampilkan ID pelanggan, nama depan, dan nama belakang.","['rental', 'customer', 'customer_stores', 'store', 'inventory']"
"Film mana yang sudah pernah disewa di semua toko? Tampilkan ID film, judul, dan jumlah toko tempat film itu disewa.","['film', 'rental', 'film_stores', 'store', 'inventory']"
"Film mana yang memiliki pendapatan tertinggi per menit durasi? Tampilkan ID film, judul, durasi, dan pendapatan per menit. Ambil hanya 1 film teratas. Bulatkan ke 2 angka desimal","['rental', 'film_revenue', 'payment', 'film', 'inventory']"
"Siapa aja pelanggan yang udah nyewa film ZORRO ARK lebih dari satu kali? Tampilkan ID, nama depan, dan nama belakang mereka ya.","['rental', 'customer', 'zorro_rentals', 'zorro_film', 'film', 'inventory']"
"Film apa yang punya aktor paling banyak tapi belum pernah disewa di toko manapun? Tampilkan ID film, judul, dan jumlah aktornya — cukup ambil 1 film teratas.","['rental', 'film_actor', 'unrented_films', 'film', 'film_actor_counts', 'inventory']"
Film apa yang punya durasi terpanjang tapi belum pernah disewa? Tampilkan judul film dan durasinya. Ambil hanya 1 film teratas.,"['inventory', 'rental', 'unrented_films', 'film']"
"Siapa 10 pelanggan teratas yang menyewa film paling banyak dalam satu hari penuh? Tampilkan nama depan, nama belakang, dan jumlah film yang disewa pada hari itu. Urutkan dari yang terbanyak","['rental', 'customer', 'customer_daily_rentals']"
"Film apa saja yang telah disewa kurang dari 10 kali secara keseluruhan? Tampilkan judul film dan jumlah total penyewaannya, lalu urutkan hasilnya berdasarkan judul secara alfabet.","['inventory', 'rental', 'film']"
Staf mana yang paling banyak memproses pembayaran saat akhir pekan? Tampilkan nama awal staf dan jumlah pembayaran yang diproses. Urutkan dari yang terbanyak.,"['p.payment_date', 'staff', 'payment']"
"Film mana yang pendapatannya tinggi tapi harga sewanya rendah? Tampilkan judul film, harga sewa, dan total pendapatan. Dapatkan top 1 saja","['rental', 'film_revenue', 'payment', 'film', 'inventory']"
Ada pelanggan yang sudah nyewa dari semua toko tapi gak pernah nyewa film dengan rating 'R'? Tampilkan nama awal pelanggan.,"['rental', 'customer', 'store', 'customer_stores', 'film', 'inventory', 'customer_no_r_ratings']"
Film mana yang disewa oleh pelanggan dari lebih dari 5 kota? Tampilkan judul film dan jumlah kotanya.,"['rental', 'customer', 'city', 'address', 'movie_city_rentals', 'film', 'inventory']"
Film mana yang punya sedikit aktor dan belum pernah disewa di toko manapun? Tampilkan judul film dan jumlah aktor. Dapatkan top 1,"['inventory', 'rental', 'film_actor', 'film']"
"Siapa saja pelanggan yang pernah menyewa film yang sama lebih dari satu kali dalam bulan yang sama (bulan penuh mana pun, tidak harus bulan sekarang)? Tampilkan nama depan pelanggan, judul film, dan jumlah penyewaannya dalam bulan tersebut. Urutkan berdasarkan nama depan pelanggan.","['rental', 'customer', 'film', 'inventory', 'customer_movie_rentals']"
Film apa saja yang telah disewa oleh pelanggan dari seluruh negara yang ada di database? Tampilkan judul film dan jumlah negara asal pelanggan yang menyewa film tersebut. Hanya tampilkan film yang disewa oleh pelanggan dari semua negara.,"['rental', 'customer', 'city', 'address', 'movie_country_rentals', 'film', 'inventory', 'country']"
Film mana yang paling sering disewa saat libur (misalnya bulan Desember)? Tampilkan judul film dan jumlah penyewaan.,"['inventory', 'rental', 'r.rental_date', 'film']"
Ada pelanggan yang nyewa dari semua kategori tapi gak pernah nyewa film dengan biaya ganti di atas $20? Tampilkan nama lengkap pelanggan.,"['category', 'rental', 'customer', 'customer_no_expensive_rentals', 'customer_categories', 'film_category', 'film', 'inventory']"
"Film apa yang paling sering disewa tapi biaya gantinya rendah? Tampilkan judul film, biaya ganti, dan jumlah penyewaan. Dapatkan top 1","['film_rentals', 'inventory', 'rental', 'film']"
Siapa pelanggan yang nyewa dari semua toko tapi gak pernah nyewa film apapun yang berdurasi lebih dari 3 jam? Tampilkan nama awal pelanggan. Urutkan dengan nama awal pelanggan.,"['rental', 'customer', 'store', 'customer_stores', 'film', 'inventory', 'customer_no_long_movies']"
Film mana yang disewa oleh pelanggan dari lebih dari 10 kota? Tampilkan judul film dan jumlah kotanya.,"['rental', 'customer', 'city', 'address', 'movie_city_rentals', 'film', 'inventory']"
Film mana yang paling banyak disewa oleh pelanggan dan sedang tidak aktif? Tampilkan judul film dan jumlah rentalnya. Dapatkan top 1 dan urutkan juga berdasarkan judulnya,"['inventory', 'rental', 'customer', 'film']"
Film top 1 mana yang pendapatannya tinggi tapi tidak pernah disewa saat weekend? Tampilkan judul film dan total pendapatan.,"['rental', 'film_revenue', 'payment', 'film', 'inventory', 'r.rental_date']"
Ada pelanggan yang nyewa dari semua kategori tapi gak pernah nyewa film dengan rating 'PG-13'? Tampilkan nama lengkap pelanggan.,"['customer_no_pg13', 'rental', 'customer', 'category', 'customer_categories', 'film_category', 'film', 'inventory']"
Film mana yang disewa oleh pelanggan dari lebih dari 5 negara? Tampilkan judul film dan jumlah negara.,"['rental', 'customer', 'city', 'address', 'movie_country_rentals', 'film', 'inventory', 'country']"